epoch,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,train_precision_epoch,train_precision_step,val_acc,val_loss
0,49,,0.875,,0.5336368083953857,,0.875,,
0,99,,0.921875,,0.3252857029438019,,0.921875,,
0,149,,0.921875,,0.29749977588653564,,0.921875,,
0,199,,0.953125,,0.21543250977993011,,0.953125,,
0,249,,0.921875,,0.2990783154964447,,0.921875,,
0,299,,0.90625,,0.355141818523407,,0.90625,,
0,349,,0.90625,,0.38145503401756287,,0.90625,,
0,399,,0.921875,,0.2636600136756897,,0.921875,,
0,449,,0.921875,,0.24988320469856262,,0.921875,,
0,499,,0.875,,0.4646952450275421,,0.875,,
0,549,,0.9375,,0.18836110830307007,,0.9375,,
0,599,,0.921875,,0.20622414350509644,,0.921875,,
0,649,,0.9375,,0.19931352138519287,,0.9375,,
0,699,,0.953125,,0.23900900781154633,,0.953125,,
0,749,,0.921875,,0.1887650191783905,,0.921875,,
0,799,,0.953125,,0.1736103892326355,,0.953125,,
0,849,,1.0,,0.042991966009140015,,1.0,,
0,899,,0.921875,,0.2650323510169983,,0.921875,,
0,937,,,,,,,0.9452000260353088,0.17047108709812164
0,937,0.8998833298683167,,0.3202870190143585,,0.8998833298683167,,,
1,949,,0.9375,,0.17146562039852142,,0.9375,,
1,999,,0.9375,,0.20990970730781555,,0.9375,,
1,1049,,0.984375,,0.08052550256252289,,0.984375,,
1,1099,,0.953125,,0.1349407136440277,,0.953125,,
1,1149,,0.953125,,0.1527440845966339,,0.953125,,
1,1199,,0.953125,,0.31759485602378845,,0.953125,,
1,1249,,0.890625,,0.2852689027786255,,0.890625,,
1,1299,,0.96875,,0.08442481607198715,,0.96875,,
1,1349,,0.96875,,0.1012493446469307,,0.96875,,
1,1399,,0.953125,,0.14106038212776184,,0.953125,,
1,1449,,0.953125,,0.17395490407943726,,0.953125,,
1,1499,,1.0,,0.025998873636126518,,1.0,,
1,1549,,0.96875,,0.08102457970380783,,0.96875,,
1,1599,,0.953125,,0.14125192165374756,,0.953125,,
1,1649,,0.953125,,0.1968412846326828,,0.953125,,
1,1699,,0.921875,,0.20349371433258057,,0.921875,,
1,1749,,0.90625,,0.3362082839012146,,0.90625,,
1,1799,,0.921875,,0.1773494929075241,,0.921875,,
1,1849,,1.0,,0.02648182585835457,,1.0,,
1,1875,,,,,,,0.9574999809265137,0.1365489363670349
1,1875,0.9540500044822693,,0.14671935141086578,,0.9540500044822693,,,
2,1899,,0.984375,,0.1292755901813507,,0.984375,,
2,1949,,0.984375,,0.03565024584531784,,0.984375,,
2,1999,,0.953125,,0.11876776814460754,,0.953125,,
2,2049,,0.953125,,0.13331806659698486,,0.953125,,
2,2099,,0.984375,,0.07533274590969086,,0.984375,,
2,2149,,0.953125,,0.12009204924106598,,0.953125,,
2,2199,,1.0,,0.02087288349866867,,1.0,,
2,2249,,0.953125,,0.13242226839065552,,0.953125,,
2,2299,,0.96875,,0.13280677795410156,,0.96875,,
2,2349,,0.96875,,0.06595096737146378,,0.96875,,
2,2399,,0.96875,,0.06037492677569389,,0.96875,,
2,2449,,0.984375,,0.046111397445201874,,0.984375,,
2,2499,,1.0,,0.026058394461870193,,1.0,,
2,2549,,0.953125,,0.26224035024642944,,0.953125,,
2,2599,,0.9375,,0.23528653383255005,,0.9375,,
2,2649,,0.96875,,0.1323832869529724,,0.96875,,
2,2699,,0.984375,,0.043097615242004395,,0.984375,,
2,2749,,0.984375,,0.043737493455410004,,0.984375,,
2,2799,,0.984375,,0.05342254042625427,,0.984375,,
2,2813,,,,,,,0.9562000036239624,0.13767792284488678
2,2813,0.9653333425521851,,0.11010336130857468,,0.9653333425521851,,,
3,2849,,0.953125,,0.18135914206504822,,0.953125,,
3,2899,,0.96875,,0.10870357602834702,,0.96875,,
3,2949,,0.984375,,0.06051468849182129,,0.984375,,
3,2999,,0.984375,,0.044914938509464264,,0.984375,,
3,3049,,0.96875,,0.07813331484794617,,0.96875,,
3,3099,,0.984375,,0.06024789437651634,,0.984375,,
3,3149,,0.96875,,0.14667271077632904,,0.96875,,
3,3199,,0.9375,,0.13018710911273956,,0.9375,,
3,3249,,0.984375,,0.045347534120082855,,0.984375,,
3,3299,,0.921875,,0.12138527631759644,,0.921875,,
3,3349,,0.9375,,0.23165178298950195,,0.9375,,
3,3399,,1.0,,0.005058095790445805,,1.0,,
3,3449,,0.96875,,0.13946756720542908,,0.96875,,
3,3499,,0.96875,,0.0716690719127655,,0.96875,,
3,3549,,0.953125,,0.21003946661949158,,0.953125,,
3,3599,,0.96875,,0.11664336174726486,,0.96875,,
3,3649,,1.0,,0.0030867159366607666,,1.0,,
3,3699,,1.0,,0.00919322855770588,,1.0,,
3,3749,,0.96875,,0.09818394482135773,,0.96875,,
3,3751,,,,,,,0.9549000263214111,0.14494140446186066
3,3751,0.9717333316802979,,0.09046313166618347,,0.9717333316802979,,,
4,3799,,0.953125,,0.07351867109537125,,0.953125,,
4,3849,,0.984375,,0.04955971986055374,,0.984375,,
4,3899,,0.984375,,0.05790625140070915,,0.984375,,
4,3949,,1.0,,0.044958293437957764,,1.0,,
4,3999,,0.96875,,0.040930651128292084,,0.96875,,
4,4049,,0.9375,,0.11883818358182907,,0.9375,,
4,4099,,0.921875,,0.1305476725101471,,0.921875,,
4,4149,,0.9375,,0.12066096067428589,,0.9375,,
4,4199,,1.0,,0.022478625178337097,,1.0,,
4,4249,,0.984375,,0.06626743823289871,,0.984375,,
4,4299,,0.984375,,0.05840659514069557,,0.984375,,
4,4349,,0.96875,,0.05458477884531021,,0.96875,,
4,4399,,0.96875,,0.245274618268013,,0.96875,,
4,4449,,0.9375,,0.15815268456935883,,0.9375,,
4,4499,,0.96875,,0.15137705206871033,,0.96875,,
4,4549,,0.953125,,0.11521010100841522,,0.953125,,
4,4599,,0.96875,,0.1350766271352768,,0.96875,,
4,4649,,1.0,,0.028626911342144012,,1.0,,
4,4689,,,,,,,0.9603999853134155,0.13521483540534973
4,4689,0.9761999845504761,,0.0760747566819191,,0.9761999845504761,,,
